event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
130,000702,2023,1,0,0,0,0.9877552359140492,top_20_risk,2024-04-09,2024-04-09,-0.019926201502200702,-0.23660786485084984,-0.0011993789721389536,0.03529353121402268
131,002394,2023,0,1,1,1,0.030032989190197566,middle_60_risk,2024-04-30,2024-04-30,-0.009379952122925084,-0.04021363214602891,-0.04223594264021635,0.01938236577668173
132,002323,2023,1,0,0,0,0.9714849442411627,top_20_risk,2024-03-30,2024-04-01,0.02927907802057783,-0.03071344155946909,-0.17901179338635864,-0.047227303488824535
133,001965,2023,0,0,0,0,0.01008296424216266,middle_60_risk,2024-04-03,2024-04-03,0.04434513316866673,0.06805344343067765,-0.0014114166995227162,-0.006680260174363295
134,002640,2023,1,0,0,0,0.9851281231865302,top_20_risk,2024-03-30,2024-04-01,-0.005635987420803401,-0.02682426888225775,-0.15510859863378634,-0.06141690758908869
135,000913,2023,0,0,0,0,0.013086516245041499,middle_60_risk,2024-04-18,2024-04-18,0.24002945040076973,0.14659111450979667,0.33027090666129866,0.017844247270759728
136,002236,2021,0,0,0,0,,not_test_year,2022-04-23,2022-04-25,-0.013059491720727179,-0.08677267185045812,-0.0686361535020601,0.12182433783704982
137,600794,2023,0,0,0,0,0.00346296451486643,bottom_20_risk,2024-03-30,2024-04-01,0.027368377447374304,0.023273617647780354,-0.0068463046774185354,0.008115077974446883
138,603216,2023,1,1,0,0,0.9060743445448158,middle_60_risk,2024-04-29,2024-04-29,0.059175140383954994,0.07718027113477033,0.01050536387890244,0.038120108531692565
139,000726,2023,1,0,0,0,0.9523188059784242,middle_60_risk,2024-04-12,2024-04-12,-0.017444180219854055,-0.022800196424857866,-0.05770525983356467,0.04041950728239507
140,603322,2021,1,1,1,1,,not_test_year,2022-04-30,2022-05-05,0.05015848787050625,0.06321321820801606,0.664984414073119,-0.06688799333026507
141,000981,2021,1,1,0,0,,not_test_year,2022-04-30,2022-05-05,0.05551301601137559,0.0011572475772085866,-0.018332529433016997,-0.022832345294770406
142,603886,2023,0,0,0,0,0.003192731251144278,bottom_20_risk,2024-03-26,2024-03-26,-0.05691361759770519,-0.06708870007652423,-0.0015131154804228775,0.02815088328855897
143,603916,2021,0,0,0,1,,not_test_year,2022-04-16,2022-04-18,0.034357022759949896,-0.08868744917434157,0.033168362826632714,0.04026861307318852
144,002430,2023,0,0,0,0,0.0038546556915436455,bottom_20_risk,2024-03-28,2024-03-28,0.04074947675966578,0.06970075084215577,-0.011320739604249286,-0.02470075567443686
145,000757,2023,1,0,0,0,0.991814324074692,top_20_risk,2024-04-26,2024-04-26,0.08313824177681184,0.055040682523889384,-0.044893655219156114,0.00317288985464681
146,601225,2023,0,0,0,0,0.007261646993650868,middle_60_risk,2024-04-26,2024-04-26,-0.06827660064289442,-0.02846546866103905,0.04258475157764685,-0.0545172904992709
147,002110,2023,1,0,0,0,0.9968055313713385,top_20_risk,2024-04-26,2024-04-26,-0.01493063862797972,-0.06713715422028976,-0.009266220227296396,-0.020832845345429063
